異動日期,異動類型,異動內容,異動範圍,測試假設/用意,預期效果,後續成效分析,狀態,對應commit,預期效果是否達成
2026-08-20,內容策略優化(選題實驗),"文章類型輪替策略調整:短期優先加碼「教學/成分解析」類型文章,暫緩推薦榜(同類產品比較)類型的產出比重;具體執行方式是針對排名卡在40-70名的舊推薦榜文章,逐一補一篇對應子分類的教學向文章做反向內鏈導流","保養專欄選題策略(跨多篇文章的內容產出方向,非單一頁面)","08/11~08/17 GSC 7天數據顯示教學類(卸妝膏怎麼用)、成分解析類(眼唇卸妝液)文章排名6-10名且有真實點擊,但推薦榜類文章(腮紅推薦、氣墊粉餅推薦)雖搜尋量不低卻卡在排名40-70名;已排除「教學文上架較晚」這個混淆因素(氣墊粉餅推薦07-14上架比教學文07-24更早,排名反而更差);同時08/03-08/12連續7篇都是推薦榜,內容同質化嚴重","驗證教學/成分解析類型是否確實比推薦榜類型更容易獲得排名與點擊,若驗證成立則作為後續選題優先序的長期依據;同時用教學文反向內鏈舊推薦文,分流權重、降低推薦文排名不佳的孤兒頁面問題",2026-09-17 以 GSC 28天(8/18~9/14)實查驗收，只計「發表滿一個月」(2026-08-17 含以前上線)的文章，且以進入曝光前30名(曝光>=14)的13篇為比較對象：教學/成分解析組5篇——眼唇卸妝液10點擊/354曝光、卸妝膏怎麼用5/250、新手眼影1/126、洗面乳緊繃1/104、乳液搓泥1/43，合計18點擊/877曝光、CTR 2.05%、曝光中位數126、5篇全部都有點擊；推薦/同類比較組7篇——粉底液膚質22/1031、遮瑕差別0/79、腮紅推薦5/46、卸妝膏推薦3/45、唇妝比較0/45、氣墊粉餅推薦1/29、定妝三合一0/23，合計31點擊/1298曝光、CTR 2.39%、曝光中位數45、7篇中4篇有點擊。推薦組總量看似領先，但79%曝光來自 foundation-skintype-guide-2026 一篇；扣掉這個離群值後其餘6篇僅9點擊/267曝光。流行趨勢類1篇(金色打亮)3點擊/24曝光。8/20之後依策略新增的5篇教學文(蜜粉、面霜質地、氣墊用法、定妝噴霧、眼霜用法)尚未滿一個月，本次不納入。,"執行中(長期六大類型輪替仍會恢復,此為暫時加碼修正失衡,非永久改變比例)","(無單一commit,為跨多篇文章的選題策略決策)",部分達成(2026-09-17驗收)：假設「教學/成分解析比推薦榜更容易獲得排名與點擊」在『每篇能否穩定拿到曝光與點擊』這個面向上成立——教學組曝光中位數126、5篇全部有點擊；推薦組曝光中位數僅45、7篇中3篇零點擊。但假設不能推論成『不該再寫推薦文』：站上最大單一流量來源仍是推薦類的 foundation-skintype-guide-2026(22點擊/1031曝光，佔全站28天曝光約32%)。實務結論：維持教學/成分解析的產出比重，同時把資源集中在少數能做大的推薦題材，而不是平均分散到每個子分類都寫一篇推薦榜。樣本限制：滿一個月的文章共34篇，但只有13篇曝光達14次以上可供比較，其餘21篇曝光都在十幾次以下，屬方向性判讀而非定論，建議8/20後那批教學文滿一個月(約2026-10月初)後再複驗一次。
2026-08-24,技術優化(SEO),新增 Article 與 Product+AggregateRating schema.org 結構化資料(JSON-LD),文章頁與商品頁,"結構化資料是 Google 顯示豐富摘要(rich snippet,如星等/評論數)的前提;Product schema 僅在該品項於 scores-data.json 有真實評分資料時才輸出,不虛構評分","提升被 Google 選為豐富摘要的機會,可能間接提升 SERP 上的視覺醒目度與 CTR",待觀察——需搭配 GSC「加強型」報表確認結構化資料是否被正確解析、有無出現在搜尋結果,已上線,e71675d,
2026-08-24,技術優化(SEO),補齊全站文章間遺漏的反向內部連結(12篇文章、15條連結),站內文章互連,"先前稽核發現部分文章只有「單向」內鏈(A連到B,但B沒連回A),形成連結權重分配不均","讓每篇有對外連結的文章都被回連,分散連結權重、提升相關文章間的爬取與排名關聯性","待觀察——內鏈效果通常需較長時間反映在排名上,尚未回頭比對",已上線,8162518,
2026-08-24,技術優化(SEO),新增 canonical 標籤(article/detail/item-detail/index頁)、修正 sitemap.xml 不再重複提交 /index.html 與 from=review 變體網址;首頁「Cruel Battle」對戰版位輪替類別(粉底液/防曬乳→氣墊粉餅/卸妝膏),全站頁面 + sitemap.xml + index.html,GSC 出現重複內容警告(同內容被視為多個不同網址);首頁對戰版位類別選擇依據當時的 GSC/GA4 查詢量數據更新,"解決重複內容判定,讓 Google 正確合併頁面權重到單一標準網址;首頁對戰版位換成當前討論度較高的子分類","待觀察——需觀察 GSC「重複網頁,Google 選擇的標準網址與使用者不同」警告是否消失",已上線,0d8f2e3,
2026-08-24,技術優化(SEO),"article.html 由 CSR 改為 SSR(新增 api/article.js + vercel.json rewrite,網址不變)",全站文章頁,"GSC 顯示大量文章頁停留在「已檢索,但尚未建立索引」,懷疑純前端渲染導致爬蟲拿到的初始HTML是空殼;同時LINE/FB/Threads分享預覽只看初始HTML,導致og:image/title失真、全站分享出去都是同一組通用預覽",提升爬蟲收錄率、改善「已檢索未索引」狀況;每篇文章分享時能正確顯示該篇真實標題與封面圖,"待觀察——需等GSC「涵蓋範圍」報表反映收錄狀態變化(通常需數週),尚未回頭驗證",已上線,3187a1f,
2026-08-24,內容優化,"首頁新增「美妝新品快報」區塊,呈現10個品牌最新上架品項,並將原本防盜連擋下的4個品牌圖片改用瀏覽器端fetch+canvas重繪+checksum驗證取得真實圖",index.html,"首頁原本偏重「已評分排行」與「熱門文章」,缺乏「最新上架情報」內容,可能影響首頁停留時間與跳出率;預留版位圖片觀感差,可能降低信任感","提升首頁互動指標(停留時間/跳出率,可用GA4觀察);真實商品圖提升整體專業度與信任感",待觀察——尚未回頭比對首頁GA4互動數據改版前後差異,已上線,dd08b01,
2026-08-25,內容功能新增,"商品頁新增「成分資訊」區塊(174個品項,含孕婦/哺乳期/敏感肌等成分警示比對)",item-detail.html + ingredients-data.json + ingredient_warnings.json,"商品頁目前內容深度不足,增加實用的成分安全資訊可能提升頁面停留時間、分享意願,長期也可能吸引外部網站自然引用/連結(對成分安全有查證需求的內容較少見)","提升商品頁互動指標(停留時間/跳出率);長期有機會帶來自然外部連結,提升網域權重","待觀察——功能太新,GSC/GA4尚無足夠樣本可分析",已上線,e3772c7、eb6c960、b2c4c0a、d41953c,
2026-08-25,內容品質優化,"文章封面圖依標籤(子分類)分色調+道具+風格系統,取代全站統一的「暖白/裸粉/淺藍」公式;新增--negative_prompt參數降低瓶身標籤亂碼機率",generate_article_image.py + 封面圖skill文件,"全站封面圖過度相似,一來可能被Google判定為AI批量操作內容(SEO風險),二來降低使用者視覺辨識度與點閱吸引力","降低被判定批量操作的風險;提升封面圖視覺辨識度,間接提升SERP點閱吸引力(CTR)","待觀察——效果需搭配未來新文章上線後累積比較,不影響既有已發表文章的封面圖",已上線,25b4f58,
2026-09-01,SEO優化(標題實驗),setting-method-comparison文章標題+meta description改寫:原本公式化的「怎麼選？優缺點比較」改成呼應內文真實痛點關鍵字(卡粉、暗沉、出油、厚重)的問句開頭,該文章頁(skincare-blog),"該文28天排名已經不錯(7.58名)但CTR異常低(38曝光、0點擊);已先排除「關鍵字競爭過大」「內連不多」兩個假設(排名本身已經很好,代表這兩者都不是卡點),鎖定「標題公式化、沒有命中真實搜尋意圖」為最可能原因","提升該篇CTR;若確認有效,可比照套用到其他排名佳但CTR低的文章","待觀察——本專案第一個可驗證的標題優化實驗,需等GSC樣本累積後(建議下次抓取時)回頭比對改標題前後CTR差異",已上線,dfe3791,未達成／無法驗收(2026-09-17查核)：改動後28天(8/18~9/14)該頁23曝光0點擊，最近7天0曝光0點擊，3個月累計僅40曝光0點擊、平均排名7.5；GSC網址審查顯示「網頁已編入索引」，非索引問題；查詢報表對該頁顯示「無資料」，代表曝光全來自低於顯示門檻的零星查詢。同題材的setting-spray-usage-guide與setting-powder-usage-guide-202628天同樣是0曝光0點擊。結論：母體太小(改動前7天也才38曝光)，CTR實驗在這個量體上無法驗收；真正的問題不是標題寫法，而是「定妝/蜜粉」題材在站上整體沒有搜尋曝光。原本「排名7.58但零點擊」的診斷需修正——該排名是在極低曝光的長尾查詢上取得的平均值，不具決策意義。後續CTR實驗應選曝光量足夠的頁面(如foundation-skintype-guide-2026)。
2026-09-01,文章優化(檢視後決定不動),"9/1文章優化審查批次的一部分(同批次已對setting-method-comparison做標題+meta description優化,見上一列)——這篇檢視後決定 concealer-stick-vs-liquid 維持原標題不動",該文章頁(skincare-blog),"排名8.75、177曝光、CTR僅1.13%,同樣CTR偏低,但檢視後找不到像setting-method-comparison那樣明確可歸因的標題問題,若貿然改標題可能弄巧成拙","作為本輪標題實驗的對照組,不主動變更,觀察是否在沒有介入的情況下CTR自然變化","待觀察——作為A/B比較基準,下次分析時應與setting-method-comparison的CTR變化一併回顧",無變動(決策不改),(無),
